"Action","Acción"
"All types","Todos los tipos"
"Backup file ""%s"" can't read or write","El fichero de la cópia ""%s"" no se puede leer ni escribir"
"Backup file ""%s"" doesn't exist","El fichero de la cópia ""%s"" no existe"
"Backup file doesn't exist","El archivo de la copia de seguridad no existe"
"Backup file handler don't specify","No se ha especificado el manejeador de la copia de seguridad"
"Backup file path don't specify","La ruta del fichero de la cópia no se ha especificado"
"Backups","Copias de seguridad"
"Cannot read backup file","No se puede leer la copia de seguridad"
"Create Backup","Crear copia de seguridad"
"DB","BD"
"Database was successfuly backed up.","Se ha creado correctamente una cópia de la base de datos"
"Download","Descargar"
"Error write to Backup file ""%s""","Error al crear el fichero de cópia de segurida ""%s"""
"File compressed with Zlib, but this extension is not installed on server","El archivo está comprimido con Zlib, pero esta extensión no está instalada en el servidor"
"Size, byte","Tamaño, byte"
"Time","Fecha"
"Type","Tipo"
"Unable to create backup. Please, try again later.","No se puede crear la cópia de seguridad. Pruebe más tarde."
"Wrong order of creation for new backup","Orden errónea para la creación de una nueva copia de seguridad"
